segment,week,purchasesTotalYTD,itemsTotalYTD,dollarsTotalYTD,purchasesCoreYTD,itemsCoreYTD,dollarsCoreYTD,purchasesExtraYTD,itemsExtraYTD,dollarsExtraYTD,purchasesTotalWeek,itemsTotalWeek,dollarsTotalWeek,purchasesCoreWeek,itemsCoreWeek,dollarsCoreWeek,purchasesExtraWeek,itemsExtraWeek,dollarsExtraWeek
Mainstream,23,48686,291861,3510164,47878,255410,920599,2715,3362,8090,11675,13012,150652,10651,11603,38687,32,33,76
Mainstream,24,48837,309707,3709181,48095,271726,973560,2742,3403,8182,15639,17846,199017,14633,16316,52961,41,41,92
Mainstream,25,48909,319527,3810808,48188,280176,996038,2768,3440,8285,8912,9820,101626,7857,8450,22478,36,37,104
Mainstream,26,48971,329640,3918143,48272,288939,1021923,2799,3486,8393,9226,10113,107335,8188,8762,25885,44,46,108
Mainstream,27,49027,339917,4095149,48337,297257,1046107,3655,4592,14249,9309,10276,177006,7814,8318,24183,1067,1106,5855
Mainstream,28,49076,350178,4238207,48399,305653,1069583,4325,5526,17426,9284,10262,143059,7853,8397,23477,889,934,3177
Mainstream,29,49120,359692,4349492,48457,313647,1091598,4633,5969,18439,8665,9513,111285,7485,7995,22015,431,443,1013
Mainstream,30,49161,370099,4466057,48514,322499,1118337,4947,6428,19382,9475,10407,116566,8277,8852,26740,447,458,941
Mainstream,31,49199,381291,4588786,48568,332123,1148987,5248,6888,20265,10174,11192,122729,8991,9624,30650,448,460,885
Mainstream,32,49237,391535,4687032,48614,339671,1171567,5471,7235,20931,9340,10244,98246,7133,7548,22580,340,347,666
Mainstream,33,49272,402018,4802514,48663,348689,1199239,5712,7606,21635,9487,10483,115482,8366,9018,27672,363,371,704
Mainstream,34,49303,412224,4916895,48708,357443,1225785,5931,7959,22306,9291,10206,114382,8167,8754,26545,346,353,671
Mainstream,35,49334,422708,5035733,48751,366528,1254631,6140,8297,22961,9563,10484,118838,8485,9085,28846,331,338,655
Mainstream,36,49361,432665,5152506,48792,375064,1280813,6353,8673,23729,9126,9957,116773,8016,8537,26183,367,376,768
Mainstream,37,49388,443079,5277610,48834,383936,1307192,6579,9063,24532,9475,10414,125103,8285,8872,26379,380,390,804
Mainstream,38,49413,453479,5405562,48874,392794,1334281,6814,9475,25358,9474,10400,127952,8277,8858,27088,403,412,825
Mainstream,39,49440,465101,5578431,48914,402423,1365325,7261,10546,28161,10507,11623,172870,8983,9630,31045,1033,1071,2804
Mainstream,40,49462,476365,5737336,48947,411852,1395446,7645,11426,30239,10204,11263,158905,8782,9428,30121,848,879,2078
Mainstream,41,49485,487512,5882976,48982,421198,1423337,7949,12000,31376,10040,11148,145640,8663,9347,27891,561,574,1137
Mainstream,42,49503,498001,6018859,49009,429852,1449230,8246,12551,32489,9501,10489,135883,8065,8654,25894,536,552,1113
Mainstream,43,49521,508937,6160306,49036,438727,1475870,8567,13144,33676,9851,10937,141446,8246,8874,26640,575,591,1186
Mainstream,44,49543,522194,6430240,49071,449494,1514445,9397,14854,37775,11761,13256,269934,9924,10769,38576,1645,1711,4100
Mainstream,45,49566,534972,6660421,49105,459833,1550685,10101,16233,40757,11376,12777,230181,9545,10338,36239,1319,1380,2982
Mainstream,46,49586,548448,6890665,49136,470839,1589166,10753,17420,43089,11904,13478,230243,10056,11006,38481,1144,1186,2333
Mainstream,47,49607,561198,7150476,49169,480531,1624670,11584,18992,46306,11235,12749,259811,8912,9691,35504,1502,1572,3217
Mainstream,48,49637,579081,7519197,49210,494517,1683429,12713,21191,50634,15272,17882,368721,12557,13986,58759,2071,2200,4328
Mainstream,49,49669,599133,7914975,49258,510013,1745893,13776,23345,54742,16782,20052,395779,13673,15496,62464,2024,2154,4107
Mainstream,50,49702,621203,8319616,49304,526527,1804597,14733,25432,58483,17953,22071,404641,14290,16514,58704,1949,2087,3741
Mainstream,51,49721,636671,8584819,49334,537067,1835549,15337,26901,61018,12937,15468,265203,9398,10540,30951,1373,1469,2535
Mainstream,52,49729,650100,8853126,49348,545401,1859037,16008,29512,67935,11060,13428,268308,7640,8333,23488,2203,2612,6917
Focus1,1,1171,1253,13208,1098,1157,4404,33,34,66,1171,1253,13208,1098,1157,4404,33,34,66
Focus1,2,2143,2487,26368,2036,2311,9039,52,55,105,1158,1235,13161,1096,1154,4635,20,21,40
Focus1,3,2995,3803,40367,2873,3550,14333,66,70,135,1236,1317,13999,1175,1238,5295,15,16,31
Focus1,4,3663,5080,54251,3539,4753,19755,75,80,156,1201,1276,13884,1144,1204,5422,10,10,20
Focus1,5,4406,6810,73268,4290,6402,27222,84,90,178,1599,1730,19017,1538,1648,7467,10,10,23
Focus1,6,5213,9264,97951,5113,8721,36005,89,97,189,2166,2453,24683,2079,2320,8783,6,6,12
Focus1,7,5401,10268,106126,5302,9648,38851,92,100,194,947,1005,8176,884,926,2847,3,3,5
Focus1,8,5572,11403,116285,5477,10708,42512,95,102,198,1069,1134,10159,1010,1060,3659,3,3,5
Focus1,9,5738,12659,128054,5646,11889,46776,97,105,204,1178,1257,11769,1119,1181,4264,3,3,6
Focus1,10,5874,13889,139466,5787,13038,50848,99,108,209,1153,1229,11412,1089,1149,4073,3,3,5
Focus1,11,5985,15073,150822,5901,14141,54774,102,110,213,1111,1184,11356,1046,1103,3926,3,3,5
Focus1,12,6090,16396,164640,6011,15379,59737,104,113,217,1236,1322,13818,1171,1238,4963,2,2,5
Focus1,13,6197,17974,181752,6124,16862,66063,106,115,222,1458,1578,17114,1388,1483,6325,3,3,5
Focus1,14,6300,19707,199252,6230,18458,72005,109,119,231,1568,1733,17500,1467,1596,5943,4,4,9
Focus1,15,6353,20822,209214,6287,19496,75512,112,122,239,1050,1115,9961,988,1038,3506,4,4,8
Focus1,16,6412,22276,223287,6349,20863,80791,118,129,257,1353,1453,14073,1288,1367,5279,6,6,18
Focus1,17,6479,24134,242600,6423,22631,88363,124,136,279,1715,1858,19313,1650,1768,7573,7,7,21
Focus1,18,6570,26903,272077,6524,25277,98648,138,153,326,2444,2769,29477,2369,2647,10285,15,16,47
Focus1,19,6600,28141,282462,6556,26433,102225,140,155,330,1157,1238,10385,1092,1156,3577,3,3,5
Focus1,20,6626,29519,294632,6585,27728,106475,141,157,334,1277,1379,12170,1214,1296,4251,2,2,3
Focus1,21,6649,30926,307810,6611,29055,111095,142,159,338,1306,1407,13178,1245,1326,4620,2,2,5
Focus1,22,6671,32381,322183,6635,30430,116111,144,161,343,1354,1456,14373,1295,1376,5016,2,2,5
Focus1,23,6692,33953,337363,6657,31917,121341,146,163,365,1451,1571,15180,1389,1487,5230,2,2,23
Focus1,24,6719,36115,357998,6688,33981,128310,148,166,376,1952,2162,20635,1887,2065,6970,3,3,12
Focus1,25,6730,37259,367475,6701,35045,131331,149,167,380,1067,1144,9477,1004,1064,3020,2,2,3
Focus1,26,6741,38466,378081,6712,36177,134954,152,170,384,1132,1207,10606,1073,1131,3623,3,3,5
Focus1,27,6750,39587,388736,6722,37214,138175,175,195,459,1055,1121,10655,987,1038,3221,25,25,75
Focus1,28,6757,40730,399150,6730,38266,141332,201,225,526,1069,1142,10414,998,1052,3155,30,31,67
Focus1,29,6764,41815,408716,6737,39271,144267,216,244,559,1018,1085,9566,952,1004,2936,18,19,33
Focus1,30,6771,43022,419069,6745,40394,147911,233,264,596,1131,1207,10354,1066,1123,3643,20,20,37
Focus1,31,6779,44349,430002,6753,41633,152161,250,284,628,1241,1328,10933,1174,1239,4251,21,21,32
Focus1,32,6785,45532,438465,6759,42587,155227,263,301,654,1108,1183,8462,912,954,3065,16,16,26
Focus1,33,6791,46753,448702,6765,43723,158944,276,318,681,1137,1221,10238,1069,1135,3717,16,17,26
Focus1,34,6796,47947,458920,6772,44834,162586,290,334,707,1115,1193,10218,1050,1111,3642,16,16,26
Focus1,35,6801,49174,469780,6777,45986,166530,302,351,733,1153,1228,10861,1094,1153,3944,16,17,26
Focus1,36,6806,50311,479752,6782,47048,169978,315,367,761,1070,1137,9972,1010,1061,3448,16,16,28
Focus1,37,6810,51486,490187,6787,48139,173398,328,384,788,1098,1176,10435,1033,1092,3419,16,17,28
Focus1,38,6815,52646,500839,6792,49215,176942,341,401,817,1087,1159,10652,1021,1076,3545,17,17,29
Focus1,39,6819,53901,513309,6797,50377,180908,365,437,887,1175,1256,12470,1102,1162,3966,34,35,70
Focus1,40,6823,55132,525495,6801,51516,184736,387,469,946,1153,1230,12186,1080,1139,3828,32,32,58
Focus1,41,6827,56332,537080,6806,52621,188217,407,496,1006,1118,1200,11585,1043,1105,3482,26,26,60
Focus1,42,6830,57456,548213,6809,53645,191479,426,521,1051,1051,1124,11133,971,1024,3262,24,25,46
Focus1,43,6834,58623,559872,6813,54703,194863,446,549,1100,1088,1167,11660,1001,1058,3384,28,29,48
Focus1,44,6836,59949,576882,6817,55909,199270,491,613,1217,1224,1326,17010,1132,1205,4407,62,64,118
Focus1,45,6839,61322,593998,6819,57156,203918,537,677,1328,1271,1373,17116,1174,1248,4648,62,64,112
Focus1,46,6843,62786,612163,6823,58475,208724,586,743,1440,1345,1463,18164,1231,1318,4807,65,67,112
Focus1,47,6845,64045,630635,6827,59558,212808,644,823,1575,1161,1259,18473,1017,1083,4082,77,79,135
Focus1,48,6851,65865,658775,6832,61151,219525,724,934,1768,1640,1820,28139,1472,1594,6719,108,112,193
Focus1,49,6855,67808,687726,6837,62816,226059,802,1046,1947,1724,1943,28951,1518,1664,6534,108,113,179
Focus1,50,6861,69876,715923,6843,64545,232048,874,1150,2113,1799,2068,28197,1553,1729,5989,101,104,167
Focus1,51,6863,71306,733633,6845,65687,235439,924,1224,2225,1275,1430,17709,1048,1141,3391,71,74,112
Focus1,52,6865,72572,752347,6847,66669,238469,987,1346,2487,1133,1265,18714,920,983,3029,112,122,262
Specialty,1,420,489,10722,224,233,753,175,210,828,420,489,10722,224,233,753,175,210,828
Specialty,2,747,922,19024,451,485,1625,271,343,1362,387,433,8303,244,252,872,115,133,534
Specialty,3,1051,1360,26693,700,782,2764,333,437,1747,401,437,7669,289,298,1139,83,95,385
Specialty,4,1302,1742,33107,920,1065,3900,367,490,1931,360,383,6415,275,283,1135,49,52,184
Specialty,5,1580,2194,40216,1182,1427,5327,396,538,2200,424,453,7108,348,361,1427,42,48,268
Specialty,6,2020,2946,50948,1611,2063,7582,419,573,2301,693,752,10733,601,637,2255,33,35,102
Specialty,7,2144,3227,54883,1711,2254,8117,433,593,2358,266,282,3935,186,191,536,19,20,57
Specialty,8,2262,3522,59195,1812,2467,8754,446,613,2420,279,293,4312,208,213,637,19,20,62
Specialty,9,2376,3825,63571,1913,2692,9458,458,630,2476,289,304,4376,219,225,704,17,17,56
Specialty,10,2487,4127,67932,2011,2915,10136,468,646,2522,287,302,4361,217,223,678,15,15,46
Specialty,11,2590,4436,72713,2102,3143,10859,479,663,2570,293,309,4781,221,228,724,16,17,48
Specialty,12,2697,4776,78139,2200,3398,11756,491,680,2613,322,340,5426,248,256,897,16,17,43
Specialty,13,2807,5151,83894,2301,3686,12796,500,696,2650,354,374,5756,278,288,1040,15,16,36
Specialty,14,2939,5624,91156,2417,4036,13976,512,715,2695,442,474,7260,334,348,1180,17,18,45
Specialty,15,3016,5926,95696,2486,4245,14598,523,732,2753,285,302,4541,205,211,622,16,18,59
Specialty,16,3110,6307,101501,2577,4538,15562,535,752,2818,362,382,5805,284,293,964,18,19,65
Specialty,17,3226,6791,108500,2694,4933,17011,549,772,2889,458,484,6999,381,394,1449,21,22,71
Specialty,18,3400,7607,120752,2885,5642,19457,577,811,3002,753,815,12252,668,709,2446,36,39,113
Specialty,19,3468,7951,125400,2952,5909,20223,582,821,3026,327,343,4648,260,268,766,10,10,23
Specialty,20,3533,8307,130104,3019,6196,21074,586,827,3039,340,357,4704,277,286,850,6,6,13
Specialty,21,3603,8688,135195,3090,6499,22015,590,834,3059,363,381,5091,293,303,942,7,7,20
Specialty,22,3659,9042,140105,3146,6783,22897,594,841,3079,338,355,4910,275,284,882,6,6,20
Specialty,23,3713,9423,145276,3202,7092,23819,598,847,3093,361,381,5171,298,310,923,5,5,14
Specialty,24,3785,9971,152252,3281,7567,25291,602,855,3117,517,548,6976,454,474,1472,8,8,23
Specialty,25,3828,10286,156441,3322,7800,25880,607,863,3147,299,315,4189,226,233,589,8,9,31
Specialty,26,3874,10611,160925,3363,8031,26485,615,876,3189,309,325,4484,225,230,606,12,13,41
Specialty,27,4023,11640,297956,3410,8328,27278,1199,1651,12974,914,1028,137030,288,297,793,727,775,9786
Specialty,28,4116,12352,348584,3447,8571,27873,1510,2127,16438,641,712,50629,236,243,595,441,476,3463
Specialty,29,4164,12758,362901,3476,8775,28359,1619,2307,17211,380,407,14316,199,205,486,173,181,773
Specialty,30,4208,13166,376106,3506,8993,28905,1715,2476,17863,382,407,13206,211,218,546,163,168,652
Specialty,31,4252,13590,389469,3538,9234,29536,1803,2644,18469,398,424,13362,235,241,630,162,168,607
Specialty,32,4290,13981,399875,3563,9429,30025,1868,2774,18932,367,392,10407,190,195,490,125,130,463
Specialty,33,4327,14370,410571,3593,9664,30636,1937,2907,19398,366,390,10696,227,235,610,128,133,465
Specialty,34,4362,14753,421511,3621,9890,31214,2003,3043,19874,358,383,10940,219,226,578,131,136,476
Specialty,35,4394,15128,432139,3645,10115,31822,2065,3173,20307,354,375,10628,219,225,609,125,130,433
Specialty,36,4426,15526,445314,3669,10342,32421,2137,3333,20898,374,398,13174,221,227,599,155,160,591
Specialty,37,4460,15946,458884,3695,10584,33062,2213,3496,21511,395,420,13571,235,242,642,157,163,613
Specialty,38,4492,16369,471982,3721,10823,33696,2288,3662,22093,396,423,13098,232,239,634,159,167,582
Specialty,39,4547,17270,531788,3759,11174,34709,2449,4283,25207,815,901,59807,338,351,1013,586,620,3114
Specialty,40,4590,17965,569588,3790,11455,35479,2574,4727,27136,637,695,37800,273,282,770,420,444,1929
Specialty,41,4624,18469,588187,3815,11708,36116,2660,4965,27974,468,504,18599,244,253,638,229,239,838
Specialty,42,4655,18929,604404,3838,11935,36694,2742,5174,28706,428,459,16218,221,228,578,200,209,733
Specialty,43,4686,19404,620582,3860,12165,37284,2825,5384,29428,443,475,16178,223,230,590,202,210,722
Specialty,44,4742,20403,678425,3910,12637,38965,3021,6062,32282,898,999,57842,450,471,1680,636,679,2855
Specialty,45,4798,21227,717019,3949,12997,40121,3207,6576,34172,747,824,38595,346,360,1157,482,514,1890
Specialty,46,4850,21936,746890,3983,13321,41128,3372,6971,35563,645,709,29871,311,324,1006,372,395,1391
Specialty,47,4920,22848,787850,4027,13694,42413,3605,7525,37515,822,913,40960,358,374,1286,516,554,1951
Specialty,48,4999,24007,836295,4079,14187,44209,3870,8221,39828,1021,1158,48445,468,491,1796,635,697,2313
Specialty,49,5072,25211,882629,4135,14707,46028,4102,8892,41929,1053,1205,46334,2582,2726,1819,608,671,2102
Specialty,50,5135,26540,927845,4190,15295,47929,4294,9554,43809,1131,1328,45219,550,588,1901,587,661,1880
Specialty,51,5174,27602,962099,4229,15715,49127,4413,10066,45239,903,1063,34255,394,420,1199,448,513,1430
Specialty,52,5218,29383,1040810,4265,16109,50191,4570,11363,51720,1195,1781,78718,365,394,1064,895,1297,6480
Diverse1,1,2660,2960,51044,2023,2129,7339,275,305,788,2660,2960,51044,2023,2129,7339,275,305,788
Diverse1,2,4828,5859,99886,3849,4321,15392,440,509,1301,2639,2899,48842,2084,2192,8053,187,203,513
Diverse1,3,6794,9004,151979,5634,6803,25270,556,659,1708,2872,3144,52093,2357,2483,9878,140,150,407
Diverse1,4,8375,12024,203055,7144,9260,35509,631,755,1936,2787,3020,51078,2338,2457,10238,93,97,229
Diverse1,5,10013,15733,263736,8784,12376,48718,699,851,2280,3390,3710,60681,2930,3115,13209,88,96,344
Diverse1,6,12094,21548,353093,10950,17355,66962,745,914,2425,5064,5814,89356,4484,4979,18244,60,63,144
Diverse1,7,12614,23941,386721,11436,19124,71978,768,944,2491,2213,2394,33629,1692,1769,5017,30,31,67
Diverse1,8,13076,26478,423867,11893,21093,78175,791,976,2557,2348,2537,37146,1880,1969,6197,32,32,66
Diverse1,9,13508,29192,464478,12334,23240,85225,811,1004,2619,2509,2713,40612,2045,2147,7050,28,28,62
Diverse1,10,13882,31907,505800,12718,25371,92132,829,1029,2683,2507,2716,41322,2029,2130,6908,24,25,64
Diverse1,11,14210,34637,548230,13063,27505,99179,847,1054,2733,2517,2731,42430,2028,2134,7048,24,25,51
Diverse1,12,14518,37567,596089,13395,29856,107943,868,1082,2791,2696,2929,47859,2230,2351,8764,27,28,58
Diverse1,13,14817,40901,650961,13723,32555,118595,887,1108,2843,3049,3335,54872,2543,2699,10652,15,16,52
Diverse1,14,15144,44980,718099,14077,35705,130009,911,1141,2912,3634,4080,67138,2916,3150,11414,32,33,68
Diverse1,15,15309,47505,756337,14262,37639,136112,943,1188,3030,2334,2524,38237,1848,1934,6103,44,46,119
Diverse1,16,15494,50687,805627,14485,40233,145361,984,1243,3185,2919,3183,49289,2451,2594,9249,53,55,155
Diverse1,17,15702,54598,866812,14747,43563,158605,1032,1309,3385,3574,3911,61185,3128,3330,13244,64,67,200
Diverse1,18,16002,60876,968961,15160,49089,179182,1130,1436,3734,5492,6278,102150,4987,5526,20577,121,128,349
Diverse1,19,16106,63657,1008447,15293,51323,185703,1144,1463,3798,2560,2781,39486,2114,2234,6521,25,26,64
Diverse1,20,16199,66637,1050987,15416,53784,193417,1154,1479,3843,2738,2979,42539,2321,2462,7715,15,16,45
Diverse1,21,16284,69671,1095233,15529,56300,201611,1164,1494,3879,2787,3034,44246,2373,2516,8194,15,15,36
Diverse1,22,16354,72706,1140217,15623,58840,210172,1173,1508,3914,2795,3035,44984,2400,2540,8561,14,14,35
Diverse1,23,16422,76034,1190226,15719,61617,219369,1182,1522,3950,3038,3328,50009,2606,2777,9197,14,14,36
Diverse1,24,16513,80788,1257054,15854,65804,233289,1194,1541,3995,4268,4754,66829,3855,4186,13920,18,19,45
Diverse1,25,16555,83358,1292899,15911,67840,238614,1203,1556,4042,2363,2570,35844,1930,2038,5325,15,16,47
Diverse1,26,16595,85924,1329898,15965,69863,244390,1217,1578,4097,2364,2566,36999,1922,2021,5775,21,22,55
Diverse1,27,16630,88619,1400752,16007,71780,249871,1523,1996,6762,2448,2694,70854,1832,1919,5482,399,419,2665
Diverse1,28,16664,91313,1454385,16048,73733,255215,1760,2344,8100,2453,2696,53633,1857,1953,5343,328,347,1338
Diverse1,29,16694,93788,1493823,16088,75596,260201,1874,2515,8518,2271,2474,39439,1776,1863,4987,165,170,418
Diverse1,30,16722,96460,1535582,16124,77648,266145,1988,2690,8938,2454,2672,41758,1952,2051,5945,170,176,421
Diverse1,31,16748,99334,1579622,16161,79888,272961,2102,2870,9324,2633,2874,44041,2127,2240,6816,176,180,385
Diverse1,32,16772,102003,1615820,16190,81680,278131,2186,3007,9628,2450,2669,36197,1715,1791,5170,133,137,304
Diverse1,33,16795,104736,1657058,16225,83831,284597,2274,3147,9922,2498,2732,41240,2030,2153,6467,138,140,294
Diverse1,34,16817,107392,1698186,16258,85904,290701,2355,3286,10220,2438,2657,41127,1966,2073,6104,135,139,299
Diverse1,35,16835,110060,1739201,16286,88014,297199,2432,3417,10494,2458,2669,41015,2003,2110,6498,128,131,274
Diverse1,36,16853,112628,1780483,16313,90018,303248,2510,3560,10813,2374,2568,41284,1911,2004,6049,139,142,319
Diverse1,37,16871,115358,1825291,16340,92138,309422,2592,3706,11134,2512,2730,44808,2012,2120,6175,143,147,321
Diverse1,38,16889,118071,1870636,16367,94245,315761,2677,3863,11472,2498,2713,45345,2003,2108,6339,153,157,338
Diverse1,39,16907,121143,1935473,16397,96526,322922,2837,4271,12718,2803,3072,64836,2165,2281,7161,392,409,1247
Diverse1,40,16923,124012,1992511,16420,98672,329523,2976,4604,13611,2627,2869,57038,2040,2147,6602,318,333,893
Diverse1,41,16939,126934,2044953,16444,100876,335877,3086,4824,14086,2663,2922,52443,2084,2203,6354,213,220,475
Diverse1,42,16952,129652,2092904,16464,102865,341591,3191,5030,14531,2489,2718,47955,1891,1988,5713,200,206,446
Diverse1,43,16964,132456,2142675,16484,104862,347386,3308,5253,15015,2558,2804,49771,1897,1997,5796,216,222,483
Diverse1,44,16979,136098,2245746,16512,107519,356910,3599,5901,16706,3256,3642,103082,2496,2657,9525,616,648,1691
Diverse1,45,16995,139498,2327734,16538,109985,365297,3841,6391,17842,3064,3400,81990,2326,2467,8385,467,490,1137
Diverse1,46,17011,142956,2406765,16562,112505,373811,4067,6811,18723,3108,3458,79031,2362,2519,8515,404,421,881
Diverse1,47,17025,146463,2497172,16584,114863,382236,4361,7372,19919,3130,3507,90407,2214,2359,8426,535,560,1196
Diverse1,48,17043,150998,2614121,16613,117982,394343,4731,8106,21452,3962,4535,116952,2888,3119,12108,691,734,1534
Diverse1,49,17063,155930,2735312,16643,121316,406613,5087,8825,22881,4260,4932,121192,3057,3335,12270,676,718,1428
Diverse1,50,17082,161532,2864291,16674,124967,419008,5412,9528,24240,4726,5603,128978,3304,3651,12395,661,704,1359
Diverse1,51,17097,165891,2959936,16697,127553,426667,5637,10069,25268,3713,4359,95652,2368,2587,7659,502,540,1028
Diverse1,52,17107,170180,3076361,16712,129668,432599,5947,11221,28793,3424,4289,116426,1964,2115,5933,938,1152,3525
Other,1,834,869,14773,559,568,1591,92,97,268,834,869,14773,559,568,1591,92,97,268
Other,2,1662,1771,29223,1174,1211,3495,147,158,420,871,902,14450,634,644,1904,59,61,152
Other,3,2484,2705,44135,1818,1910,5649,184,199,541,903,933,14913,687,698,2155,40,41,122
Other,4,3233,3590,58632,2429,2597,7840,206,224,605,860,886,14497,676,687,2191,24,25,64
Other,5,4208,4776,77822,3259,3558,11124,229,249,684,1151,1186,19190,942,960,3284,24,25,78
Other,6,6007,7045,113649,4870,5485,17242,245,268,739,2174,2270,35827,1871,1927,6119,18,19,55
Other,7,6570,7854,125447,5306,6067,18661,252,275,756,787,808,11799,574,582,1418,8,8,17
Other,8,7133,8686,137730,5756,6690,20282,260,284,774,810,833,12281,613,623,1621,8,8,18
Other,9,7731,9590,151136,6239,7376,22150,267,293,792,878,905,13407,674,686,1868,8,8,18
Other,10,8318,10500,164714,6712,8060,23985,273,300,806,885,910,13577,673,684,1834,6,6,14
Other,11,8872,11399,178118,7153,8725,25711,279,306,820,873,899,13404,653,665,1727,6,6,14
Other,12,9410,12299,191812,7591,9401,27554,284,312,833,874,900,13694,665,677,1843,6,6,13
Other,13,9998,13319,207460,8076,10180,29869,291,319,847,989,1020,15649,766,779,2315,6,6,14
Other,14,10740,14657,229381,8665,11157,32826,299,328,865,1285,1338,21922,953,977,2957,9,9,18
Other,15,11181,15484,241919,9027,11770,34392,311,340,899,803,827,12538,604,614,1565,13,13,34
Other,16,11716,16529,258409,9482,12578,36638,328,360,957,1012,1045,16490,793,808,2246,19,19,58
Other,17,12380,17845,279833,10077,13647,40069,353,387,1043,1274,1317,21425,1047,1067,3431,27,28,86
Other,18,13561,20297,322455,11198,15746,46863,421,464,1266,2341,2452,42622,2033,2100,6794,73,77,224
Other,19,14042,21357,338410,11616,16571,48968,432,477,1301,1027,1060,15955,808,824,2105,13,14,33
Other,20,14506,22439,354322,12029,17427,51240,437,483,1314,1046,1081,15912,839,857,2272,6,6,14
Other,21,14953,23509,370139,12424,18273,53492,441,490,1328,1035,1071,15817,828,845,2253,5,5,14
Other,22,15379,24564,385695,12805,19112,55803,446,494,1339,1020,1055,15556,822,840,2311,5,5,11
Other,23,15838,25743,402886,13222,20064,58432,450,500,1351,1139,1179,17193,932,951,2629,5,5,12
Other,24,16506,27545,427742,13872,21623,63029,456,507,1367,1732,1802,24856,1517,1561,4597,7,7,16
Other,25,16854,28499,441024,14171,22358,64699,461,512,1381,923,953,13282,720,734,1670,5,5,14
Other,26,17146,29331,452842,14420,22988,66190,467,519,1402,807,833,11818,619,630,1490,7,7,22
Other,27,17453,30200,469385,14657,23601,67627,530,588,1748,842,869,16543,602,613,1438,68,68,347
Other,28,17773,31123,485378,14905,24249,69130,605,671,2024,892,923,15994,636,648,1503,81,83,276
Other,29,18075,32018,499497,15143,24888,70602,655,727,2164,864,895,14119,626,639,1472,55,56,140
Other,30,18378,32943,514333,15385,25554,72176,706,785,2314,894,925,14836,654,666,1574,57,58,150
Other,31,18691,33919,530059,15640,26264,73881,759,846,2455,942,977,15726,698,710,1704,60,61,141
Other,32,18989,34871,543548,15851,26861,75307,803,896,2574,920,952,13489,587,597,1426,50,50,119
Other,33,19283,35839,558811,16097,27572,77019,850,950,2715,934,968,15263,698,712,1714,53,54,141
Other,34,19569,36787,574079,16333,28265,78684,898,1007,2845,917,948,15269,680,692,1664,56,57,131
Other,35,19838,37706,589015,16559,28936,80338,946,1061,2973,890,919,14935,660,671,1653,54,55,128
Other,36,20099,38601,603707,16774,29583,81917,993,1118,3110,869,896,14693,636,647,1580,56,57,137
Other,37,20378,39577,619855,17007,30296,83611,1044,1178,3250,944,977,16149,699,713,1694,59,60,140
Other,38,20649,40553,636293,17232,31002,85318,1096,1242,3398,944,977,16439,694,707,1707,63,64,149
Other,39,20930,41591,656061,17457,31719,87091,1184,1362,3727,1003,1038,19769,704,717,1774,116,119,329
Other,40,21215,42648,676136,17682,32447,88897,1279,1489,4064,1021,1057,20075,715,728,1805,125,128,337
Other,41,21513,43763,696640,17920,33228,90760,1369,1601,4350,1076,1114,20504,766,781,1863,111,113,286
Other,42,21789,44800,716333,18129,33921,92403,1464,1718,4642,1003,1038,19695,680,692,1643,115,117,293
Other,43,22060,45849,736432,18329,34601,94019,1562,1839,4950,1011,1049,20099,667,680,1616,119,121,308
Other,44,22406,47134,768497,18592,35443,96368,1745,2066,5572,1236,1285,32065,825,842,2348,223,228,622
Other,45,22797,48553,804063,18879,36363,99030,1962,2334,6245,1360,1419,35565,900,921,2663,260,267,673
Other,46,23200,50051,841856,19164,37304,101772,2199,2622,6959,1435,1499,37794,919,941,2742,281,288,714
Other,47,23681,51720,889349,19452,38211,104622,2547,3044,8000,1596,1670,47492,888,906,2850,410,422,1041
Other,48,24296,54031,956021,19865,39572,109447,2993,3599,9338,2186,2311,66674,1322,1362,4825,537,555,1337
Other,49,24992,56798,1032242,20345,41185,115115,3461,4194,10690,2596,2768,76225,1559,1613,5668,575,596,1354
Other,50,25725,60030,1115485,20859,43028,121240,3914,4790,11945,2993,3233,83246,1768,1843,6125,572,595,1255
Other,51,26246,62556,1177659,21210,44361,125204,4224,5221,12821,2344,2526,62178,1283,1333,3965,415,431,877
Other,52,26536,64172,1219101,21384,45049,126949,4497,5700,14284,1468,1616,41445,669,688,1745,436,479,1463
New,1,1910,2046,31379,1392,1442,3951,125,134,392,1910,2046,31379,1392,1442,3951,125,134,392
New,2,3663,4156,62545,2777,3002,8470,207,227,638,1979,2111,31167,1508,1561,4519,88,93,246
New,3,5404,6467,96742,4234,4785,14111,264,293,811,2170,2311,34197,1718,1783,5641,64,67,173
New,4,6975,8750,131445,5594,6593,20056,303,339,918,2151,2282,34703,1744,1807,5944,45,46,107
New,5,8871,11719,176574,7304,9032,28354,347,392,1087,2786,2969,45129,2341,2439,8299,50,53,169
New,6,12147,17146,257465,10369,13647,42465,377,427,1167,4967,5427,80891,4327,4615,14111,34,35,80
New,7,12988,19021,282263,11045,14999,45681,391,444,1225,1768,1874,24799,1310,1352,3217,16,17,58
New,8,13802,20991,309280,11723,16475,49514,404,460,1261,1858,1970,27016,1427,1477,3832,16,17,37
New,9,14636,23113,338631,12436,18099,53876,417,476,1293,2002,2122,29351,1567,1624,4363,15,15,32
New,10,15413,25215,367729,13106,19699,58100,426,488,1318,1982,2102,29098,1544,1600,4224,12,12,24
